Part,Mass of variable,Time (s),Mass (g),Energy absorbed by the water (J),Percent of mass consumed
Variable catalyst,0.7g of catalyst,50.5,1.82,,68.92%
Variable catalyst,0.7g of catalyst,51.5,1.89,,71.57%
Variable catalyst,0.7g of catalyst,53.0,1.91,,72.33%
Variable catalyst,0.7g of catalyst,55.5,,3348.8,
Variable catalyst,0.7g of catalyst,57.0,,3558.1,
Variable catalyst,0.7g of catalyst,58.5,2.03,,76.88%
Variable catalyst,0.7g of catalyst,59.0,2.05,,77.63%
Variable catalyst,0.7g of catalyst,60.0,2.12,,80.29%
Variable catalyst,0.7g of catalyst,62.0,2.14,,81.05%
Variable catalyst,0.7g of catalyst,63.0,2.16,,81.80%
Variable catalyst,0.7g of catalyst,64.0,2.21,,83.70%
Variable catalyst,0.7g of catalyst,66.0,,3976.7,
Variable catalyst,0.7g of catalyst,67.0,2.30,,87.11%
Variable catalyst,0.7g of catalyst,69.0,2.31,,87.49%
Variable catalyst,0.7g of catalyst,70.0,2.37,,89.76%
Variable catalyst,0.7g of catalyst,71.0,2.40,,90.90%
Variable catalyst,0.7g of catalyst,72.0,2.41,,91.28%
Variable catalyst,0.7g of catalyst,75.5,,4395.3,
Variable catalyst,0.7g of catalyst,77.0,2.49,,94.31%
Variable catalyst,0.7g of catalyst,78.5,2.54,,96.21%
Variable catalyst,0.7g of catalyst,79.5,2.59,,98.10%
Variable catalyst,0.7g of catalyst,84.0,2.59,,98.10%
Variable catalyst,0.7g of catalyst,86.0,,4395.3,
Variable catalyst,0.7g of catalyst,86.5,2.64,4395.3,100.00%
